gbn,purps,addr,area,lon,lat
의료시설,의료시설,전라북도 완주군 경천면 가천리 0343-0024,182.45,127.2632038,36.03314519
의료시설,의료시설,전라북도 완주군 고산면 삼기리 0012,1251.19,127.240122,35.99000554
의료시설,의료시설,전라북도 완주군 구이면 항가리 0602-0001,3471.07,127.1163396,35.71631499
의료시설,의료시설,전라북도 완주군 봉동읍 낙평리 0089-0001,1064.04,127.1620178,35.93528482
의료시설,의료시설,전라북도 완주군 봉동읍 둔산리 0933-0002,5508.4,127.1240093,35.95803345
의료시설,의료시설,전라북도 완주군 봉동읍 장기리 0271,4764.16,127.1625747,35.93568729
의료시설,의료시설,전라북도 완주군 삼례읍 삼례리 0910-0011,759.59,127.07455,35.91012749
의료시설,의료시설,전라북도 완주군 삼례읍 삼례리 0924-0012,1947.2,127.0744312,35.90975021
의료시설,의료시설,전라북도 완주군 상관면 신리 0717-0002,6702.665,127.2024077,35.76451995
의료시설,의료시설,전라북도 완주군 상관면 죽림리 0453,2233.49,127.2297946,35.7298839
의료시설,의료시설,전라북도 완주군 소양면 해월리 0097,1373.27,127.256942,35.8786962
의료시설,의료시설,전라북도 완주군 소양면 해월리 0496-0016,401.91,127.2549672,35.86090251
의료시설,의료시설,전라북도 완주군 소양면 해월리 0496-0028,16747.47,127.2556147,35.86051369
의료시설,의료시설,전라북도 완주군 소양면 해월리 0496-0041,2529.07,127.2559146,35.86143548
의료시설,의료시설,전라북도 완주군 소양면 해월리 0512-0004,163.8,127.2539995,35.8597424
의료시설,의료시설,전라북도 완주군 소양면 해월리 0512-0011,186.55,127.2544546,35.85942158
의료시설,의료시설,전라북도 완주군 소양면 해월리 0849-0001,4443.98,127.2606593,35.85974544
의료시설,의료시설,전라북도 완주군 용진읍 신지리 0512,4101.06,127.1737716,35.93288739
의료시설,의료시설,전라북도 완주군 화산면 종리 1059-0002,2953.44,127.2248701,36.01199666
공공기관,교육연구시설,전라북도 완주군 고산면 삼기리 0463-0002,1296,127.2226599,35.99373914
공공기관,업무시설,전라북도 완주군 고산면 삼기리 0945-0061,1457.37,127.2211408,35.9842461
공공기관,교육연구시설,전라북도 완주군 고산면 삼기리 0945-0070,3152.62,127.2203014,35.9841076
공공기관,분뇨.쓰레기처리시설,전라북도 완주군 고산면 서봉리 0739-0003,1028.65,127.1978105,35.97644798
공공기관,운동시설,전라북도 완주군 고산면 소향리 0162,1863.7,127.2623303,35.98953248
공공기관,문화및집회시설,전라북도 완주군 고산면 소향리 0162,1116,127.2623303,35.98953248
공공기관,교육연구시설,전라북도 완주군 고산면 소향리 0318-0001,1250.52,127.2570201,35.98853054
공공기관,관광휴게시설,전라북도 완주군 고산면 오산리 산 0043-0001,1103.18,127.2371341,35.95061098
공공기관,업무시설,전라북도 완주군 고산면 읍내리 0715-0003,3382.12,127.2053247,35.97653396
공공기관,교육연구시설,전라북도 완주군 고산면 읍내리 0715-0003,1154.81,127.2053247,35.97653396
공공기관,제2종근린생활시설,전라북도 완주군 고산면 읍내리 0887,1168.11,127.2045956,35.97439215
공공기관,문화및집회시설,전라북도 완주군 구이면 덕천리 1409-0003,4354.27,127.1360145,35.72634448
공공기관,업무시설,전라북도 완주군 구이면 원기리 0450,2265.27,127.1206699,35.73184032
공공기관,공장,전라북도 완주군 구이면 원기리 0624,1132.96,127.1174019,35.73047551
공공기관,교육연구시설,전라북도 완주군 봉동읍 구미리 0974,2019.18,127.1262259,35.92784829
공공기관,수련시설,전라북도 완주군 봉동읍 낙평리 0032-0002,1022.77,127.1667836,35.93499044
공공기관,노유자시설,전라북도 완주군 봉동읍 낙평리 0062,1253.3,127.1652858,35.93436939
공공기관,운동시설,전라북도 완주군 봉동읍 낙평리 1205-0001,1666.53,127.1547565,35.9367272
공공기관,노유자시설,전라북도 완주군 봉동읍 둔산리 0881,5294.37,127.1286646,35.96244183
공공기관,교육연구시설,전라북도 완주군 봉동읍 둔산리 0898-0001,1389.37,127.1238292,35.96125304
공공기관,공장,전라북도 완주군 봉동읍 율소리 0684-0001,3082.88,127.1725566,35.95591675
공공기관,판매시설,전라북도 완주군 봉동읍 장기리 0217-0013,1435.08,127.1673141,35.9387541
공공기관,제1종근린생활시설,전라북도 완주군 봉동읍 장기리 0285-0005,1195.68,127.1622369,35.93713667
공공기관,업무시설,전라북도 완주군 봉동읍 장기리 0374-0024,1371.03,127.1652677,35.9403634
공공기관,업무시설,전라북도 완주군 봉동읍 장기리 0412,3105.59,127.1662981,35.94155369
공공기관,동물및식물관련시설,전라북도 완주군 비봉면 봉산리 0634,1024.5,127.153745,35.98094067
공공기관,교육연구시설,전라북도 완주군 삼례읍 삼례리 0182,3233.98,127.085219,35.92346541
공공기관,수련시설,전라북도 완주군 삼례읍 삼례리 0288,3993.43,127.0827505,35.91782706
공공기관,문화및집회시설,전라북도 완주군 삼례읍 삼례리 0930-0003,1084.28,127.0736681,35.91175983
공공기관,업무시설,전라북도 완주군 삼례읍 수계리 1242-0001,4006.47,127.1225328,35.92167435
공공기관,제1종근린생활시설,전라북도 완주군 삼례읍 신금리 0416-0006,1827.85,127.0926882,35.92111908
공공기관,운동시설,전라북도 완주군 삼례읍 신금리 산 0071-0001,1605.3,127.0932753,35.92039447
공공기관,문화및집회시설,전라북도 완주군 삼례읍 신금리 산 0071-0001,1493.82,127.0932753,35.92039447
공공기관,분뇨.쓰레기처리시설,전라북도 완주군 삼례읍 해전리 0001-0007,1748.94,127.0587174,35.9003015
공공기관,분뇨.쓰레기처리시설,전라북도 완주군 삼례읍 해전리 0001-0007,1047,127.0587174,35.9003015
공공기관,분뇨.쓰레기처리시설,전라북도 완주군 삼례읍 후정리 0184,2587.85,127.062787,35.90148368
공공기관,문화및집회시설,전라북도 완주군 삼례읍 후정리 0273-0001,1016.03,127.0659682,35.90760532
공공기관,업무시설,전라북도 완주군 상관면 신리 0602-0003,2091.72,127.2071752,35.77131982
공공기관,의료시설,전라북도 완주군 상관면 죽림리 0453,2233.49,127.2297946,35.7298839
공공기관,분뇨.쓰레기처리시설,전라북도 완주군 소양면 명덕리 1223-0002,1044.03,127.2014298,35.85811163
공공기관,문화및집회시설,전라북도 완주군 소양면 신원리 0123,1098.53,127.2943873,35.85440089
공공기관,운동시설,전라북도 완주군 용진읍 신지리 0289,2980.65,127.1745742,35.93767543
공공기관,업무시설,전라북도 완주군 용진읍 용흥리 0819,2945.75,127.1568399,35.88349329
공공기관,문화및집회시설,전라북도 완주군 용진읍 운곡리 0905-0002,9630.19,127.1588522,35.90635901
공공기관,교육연구시설,전라북도 완주군 용진읍 운곡리 0975-0078,2410.29,127.1619945,35.90438523
공공기관,업무시설,전라북도 완주군 용진읍 운곡리 0975-0078,1967.855,127.1619945,35.90438523
공공기관,문화및집회시설,전라북도 완주군 용진읍 운곡리 0975-0078,1248.37,127.1619945,35.90438523
공공기관,업무시설,전라북도 완주군 용진읍 운곡리 0975-0078,12694.764,127.1619945,35.90438523
공공기관,업무시설,전라북도 완주군 운주면 장선리 0577,1934.27,127.2774582,36.09233229
공공기관,교육연구시설,전라북도 완주군 이서면 갈산리 0691-0003,4262.01,127.0560515,35.83646348
공공기관,업무시설,전라북도 완주군 이서면 상개리 0586,2926.04,127.0226099,35.8206255
공공기관,운동시설,전라북도 완주군 이서면 상개리 0837,2701.46,127.0229646,35.82342619
공공기관,공장,전라북도 완주군 화산면 화월리 0715-0001,1100.73,127.1927455,36.0353196
